"13.03.2025","12.855,99","12.739,00","12.895,36","12.722,00","32,88M","0,41%"
"12.03.2025","12.804,00","12.944,80","12.964,30","12.708,20","139,43M","-0,57%"
"11.03.2025","12.877,30","13.070,10","13.138,00","12.840,90","173,67M","-1,57%"
"10.03.2025","13.082,70","13.262,40","13.291,30","13.050,40","164,74M","-1,32%"
"07.03.2025","13.257,10","13.142,90","13.291,30","13.114,70","134,51M","0,17%"
"06.03.2025","13.234,20","13.274,00","13.319,60","13.099,90","176,62M","0,15%"
"05.03.2025","13.214,00","13.230,20","13.348,20","13.206,40","177,35M","1,40%"
"04.03.2025","13.031,70","13.248,20","13.282,00","12.997,10","195,20M","-2,55%"
"03.03.2025","13.373,10","13.349,30","13.446,40","13.218,70","153,78M","0,19%"
"28.02.2025","13.347,30","13.240,20","13.347,30","13.215,70","251,58M","0,58%"
"27.02.2025","13.270,60","13.221,40","13.316,70","13.178,00","159,41M","-0,46%"
"26.02.2025","13.332,00","13.130,80","13.339,70","13.126,90","125,56M","1,64%"
"25.02.2025","13.116,80","12.965,10","13.219,40","12.960,80","150,76M","0,80%"
"24.02.2025","13.012,90","12.970,60","13.052,00","12.927,20","120,80M","0,47%"
"21.02.2025","12.952,00","12.952,10","12.987,90","12.894,60","125,14M","-0,12%"
"20.02.2025","12.967,10","12.927,90","13.026,30","12.918,50","127,11M","0,29%"
"19.02.2025","12.929,40","13.103,70","13.157,30","12.914,20","131,03M","-1,63%"
"18.02.2025","13.143,90","13.026,60","13.158,60","13.014,90","127,41M","0,98%"
"17.02.2025","13.016,90","12.942,20","13.033,70","12.942,00","98,46M","0,47%"
"14.02.2025","12.956,00","12.909,50","12.984,60","12.878,90","123,29M","0,15%"
"13.02.2025","12.936,30","12.964,20","12.974,90","12.882,40","123,54M","0,19%"
"12.02.2025","12.911,50","12.816,70","12.919,90","12.810,10","152,20M","1,07%"
"11.02.2025","12.774,80","12.696,10","12.778,30","12.680,90","132,44M","0,52%"
"10.02.2025","12.708,80","12.681,20","12.739,30","12.664,60","104,17M","0,16%"
"07.02.2025","12.688,90","12.740,90","12.775,60","12.672,60","129,94M","-0,33%"
"06.02.2025","12.731,00","12.576,50","12.743,70","12.574,30","182,98M","1,55%"
"05.02.2025","12.536,70","12.422,00","12.536,70","12.420,30","189,28M","1,32%"
"04.02.2025","12.372,80","12.214,20","12.388,50","12.173,90","121,12M","1,37%"
"03.02.2025","12.205,80","12.114,20","12.264,80","12.101,30","147,69M","-1,32%"
"31.01.2025","12.368,90","12.450,50","12.465,60","12.357,80","107,14M","-0,41%"
